COLL_NOM;COLL_SIRET;DELIB_ID;DELIB_DATE;DELIB_MATIERE_CODE;DELIB_MATIERE_NOM;DELIB_OBJET;BUDGET_ANNEE;BUDGET_NOM;PREF_ID;PREF_DATE;VOTE_EFFECTIF;VOTE_REEL;VOTE_POUR;VOTE_CONTRE;VOTE_ABSTENTION;DELIB_URL
COMMUNE DE RENNES;21350238800019;DCM_2025_363;2025-09-22;1.1;Commande Publique/Marches publics;DCM 2025-363 - Administration générale - Village Vacances Lamoura - Groupement de commandes pour la passation d'un marché public de prestations juridiques - Convention;;;;2025-09-29 00:00:00;;;;;;
COMMUNE DE RENNES;21350238800019;DCM_2025_353;2025-09-22;7.9;Finances locales/Prise de participation (SEM, etc...);DCM 2025-353 - Aménagement et services urbains, environnement - Société d'Économie Mixte Territoires et Développement - Rapport des représentants de la Ville de Rennes pour 2024 - Approbation;;;;2025-09-29 00:00:00;;;;;;
COMMUNE DE RENNES;21350238800019;DCM_2025_339;2025-09-22;1.4;Commande Publique/Autres types de contrats;DCM 2025-339 - Aménagement et services urbains, environnement - ZAC Baud-Chardonnet - Bilan financier prévisionnel actualisé au 31 décembre 2024 - Approbation;;;;2025-09-29 00:00:00;;;;;;
COMMUNE DE RENNES;21350238800019;DCM_2025_335;2025-09-22;2.2;Urbanisme/Actes relatifs au droit d occupation ou d utilisation des sols;DCM 2025-335 - Aménagement et services urbains, environnement - Rennes Centre Ancien - Opération de Restauration Immobilière - 5ème programme de DUP de travaux - Enquête publique préalable;;;;2025-09-29 00:00:00;;;;;;
COMMUNE DE RENNES;21350238800019;DCM_2025_332;2025-09-22;1.4;Commande Publique/Autres types de contrats;DCM 2025-332 - Aménagement et services urbains, environnement - ZAC Blosne-Est - Opération revitalisation artisanale commerciale - Avenant n°5 - Bilan financier actualisé au 31/12/2024 - Approbation;;;;2025-09-29 00:00:00;;;;;;
COMMUNE DE RENNES;21350238800019;DCM_2025_152;2025-05-19;3.2;Domaine et patrimoine/Alienations;DCM 2025-152-Aménagement et services urbains, environnement - 67 boulevard Albert 1er - Cession - Modificatif;;;;2025-05-23 00:00:00;;;;;;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2025/873950/9437b2de22c99fb5ee9e525e260403e632ebbd665bb30a0cfccd160eee7a3557.pdf
COMMUNE DE RENNES;21350238800019;DCM_2025_150;2025-05-19;3.5;Domaine et patrimoine/Autres actes de gestion du domaine public;DCM 2025-150-Aménagement et services urbains, environnement - 15 allée Nadault de Buffon - Désaffectation - Déclassement et cession;;;;2025-05-23 00:00:00;;;;;;
COMMUNE DE RENNES;21350238800019;DCM_2025_147;2025-05-19;1.6;Commande Publique/Actes relatifs a la maitrise d oeuvre;DCM 2025-147-Famille - Accueil de la petite enfance - Crèche Bois Perrin - Construction - Avant-Projet Définitif - Approbation;;;;2025-05-23 00:00:00;;;;;;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2025/873944/ce5bd61f08ae9b6b86bd8cc39138db7b0bc258b62f710af2b4eb935171386b31.pdf
COMMUNE DE RENNES;21350238800019;DCM_2025_146;2025-05-19;1.6;Commande Publique/Actes relatifs a la maitrise d oeuvre;DCM 2025-146-Sports et jeunesse - Complexe sportif Cleunay Lesseps - Rénovation d'un terrain de football gazon synthétique - Programme et enveloppe financière prévisionnelle - Approbation;;;;2025-05-23 00:00:00;;;;;;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2025/873941/bcad143633946c07578cbba068bee68cdf5af04a18e9b30f1ed435b1c2df1b93.pdf
COMMUNE DE RENNES;21350238800019;DCM_2025_144;2025-05-19;7.5;Finances locales/Subventions;DCM 2025-144-Aménagement et services urbains, environnement - Provision Associations émergentes - Première attribution de subventions 2025;;;;2025-05-23 00:00:00;;;;;;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2025/873937/aaf2186bfce2ee5790a8e71da466aacfe375d9a6b94afe4b4e070cf46b2d37e5.pdf
