Date;Collectivité;Instance;Numero delib;Titre délib;Rapporteur;ID élu;Elu;FONCTION;Theme déport;DELIB_URL;Observations
2024-02-19;Ville de Rennes;Conseil Municipal;2024_033;Finances – Attributions des subventions de fonctionnement au titre de l'année 2024 – Culture, patrimoine et rayonnement – Solidarités et cohésion sociale;M. THEURIER;9762-3728;CAREIL Benoît;11è adjoint délégué à la Culture;Versement de subventions à des organismes de droit privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2024/578675/4c2889a1ccfcae02fa43a059bae176e2e12301fffe7e7f6f74d84b86d8046ba0.pdf;Représentant de la VDR ou RM auprès de l'organisme bénéficiaire
2024-02-19;Ville de Rennes;Conseil Municipal;15;Enseignement, formation – Activités éducatives périscolaires – Provision associations ateliers périscolaires – DCM 2023-0040 et 2023-0356 – Modification - Versement d'un acompte pour l'année scolaire 2023-2024 – Première attribution de subventions 2024;MME ROUGIER;9762-3728;CAREIL Benoît;11è adjoint délégué à la Culture;Versement de subventions à des organismes de droit privé ou public;;Représentant de la VDR ou RM auprès de l'organisme bénéficiaire
2024-02-19;Ville de Rennes;Conseil Municipal;2024_033;Finances – Attributions des subventions de fonctionnement au titre de l'année 2024 – Culture, patrimoine et rayonnement – Solidarités et cohésion sociale;M. THEURIER;17152-3728;DENIAUD Marion;20è adjointe déléguée au Quartier Maurepas;Versement de subventions à des organismes de droit privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2024/578675/4c2889a1ccfcae02fa43a059bae176e2e12301fffe7e7f6f74d84b86d8046ba0.pdf;Représentant de la VDR ou RM auprès de l'organisme bénéficiaire
2024-02-19;Ville de Rennes;Conseil Municipal;2024_033;Finances – Attributions des subventions de fonctionnement au titre de l'année 2024 – Culture, patrimoine et rayonnement – Solidarités et cohésion sociale;M. THEURIER;17223-3728;GANDON Carole;Conseillère municipale;Versement de subventions à des organismes de droit privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2024/578675/4c2889a1ccfcae02fa43a059bae176e2e12301fffe7e7f6f74d84b86d8046ba0.pdf;Représentant de la VDR ou RM auprès de l'organisme bénéficiaire
2024-02-19;Ville de Rennes;Conseil Municipal;2024_033;Finances – Attributions des subventions de fonctionnement au titre de l'année 2024 – Culture, patrimoine et rayonnement – Solidarités et cohésion sociale;M. THEURIER;17174-3728;AFFILE Gwendoline;Conseillère déléguée à l'Innovation sociale et à l'Accès aux loisirs;Versement de subventions à des organismes de droit privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2024/578675/4c2889a1ccfcae02fa43a059bae176e2e12301fffe7e7f6f74d84b86d8046ba0.pdf;Représentant de la VDR ou RM auprès de l'organisme bénéficiaire
2024-02-19;Ville de Rennes;Conseil Municipal;2024_033;Finances – Attributions des subventions de fonctionnement au titre de l'année 2024 – Culture, patrimoine et rayonnement – Solidarités et cohésion sociale;M. THEURIER;17123-3728;BOUKHENOUFA Flavie;10è adjointe déléguée aux Relations internationales, aux relations publiques, aux cultes et à la laïcité et à l'odonymie;Versement de subventions à des organismes de droit privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2024/578675/4c2889a1ccfcae02fa43a059bae176e2e12301fffe7e7f6f74d84b86d8046ba0.pdf;Représentant de la VDR ou RM auprès de l'organisme bénéficiaire
2024-02-19;Ville de Rennes;Conseil Municipal;26;Relations internationales – Provision solidarité internationale – Première attribution de subventions sur provision 2024;M SEMERIL;17123-3728;BOUKHENOUFA Flavie;10è adjointe déléguée aux Relations internationales, aux relations publiques, aux cultes et à la laïcité et à l'odonymie;Versement de subventions à des organismes de droit privé ou public;;Représentant de la VDR ou RM auprès de l'organisme bénéficiaire
2024-02-19;Ville de Rennes;Conseil Municipal;2024_033;Finances – Attributions des subventions de fonctionnement au titre de l'année 2024 – Culture, patrimoine et rayonnement – Solidarités et cohésion sociale;M. THEURIER;9725-3728;MARIE Anabel;Conseillère municipale déléguée à l'Europe;Versement de subventions à des organismes de droit privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2024/578675/4c2889a1ccfcae02fa43a059bae176e2e12301fffe7e7f6f74d84b86d8046ba0.pdf;Représentant de la VDR ou RM auprès de l'organisme bénéficiaire
2024-02-19;Ville de Rennes;Conseil Municipal;5;Finances – Attributions des subventions de fonctionnement au titre de l'année 2024 – Citoyenneté et Vie en Société – Enfance, jeunesse et politiques éducatives – Sports et activités physiques – Pilotage de l'action publique – Qualité des espaces publics – Aménagement durable et solidaire;M. THEURIER;7285-3728;NADESAN Yannick;5è adjoint délégué à la Santé;Versement de subventions à des organismes de droit privé ou public;;Représentant de la VDR ou RM auprès de l'organisme bénéficiaire
2024-02-19;Ville de Rennes;Conseil Municipal;15;Enseignement, formation – Activités éducatives périscolaires – Provision associations ateliers périscolaires – DCM 2023-0040 et 2023-0356 – Modification - Versement d'un acompte pour l'année scolaire 2023-2024 – Première attribution de subventions 2024;MME ROUGIER;9760-3728;LAHAIS Tristan;Conseiller municipal;Versement de subventions à des organismes de droit privé ou public;;Représentant de la VDR ou RM auprès de l'organisme bénéficiaire
2024-02-19;Ville de Rennes;Conseil Municipal;5;Finances – Attributions des subventions de fonctionnement au titre de l'année 2024 – Citoyenneté et Vie en Société – Enfance, jeunesse et politiques éducatives – Sports et activités physiques – Pilotage de l'action publique – Qualité des espaces publics – Aménagement durable et solidaire;M. THEURIER;11097-3728;ZAMORD Priscilla;Conseillère municipale;Versement de subventions à des organismes de droit privé ou public;;Représentant de la VDR ou RM auprès de l'organisme bénéficiaire
