date,service,type_document,chemin_fichier
2025-09-22,Commande Publique/Marches publics,deliberations,module1-nettoyage/data/classe\deliberations\2025\commande-publique-marches-publics\2025-09-22_deliberations_commande-publique-marches-publics_dcm-2025-363.csv
2025-09-22,"Finances locales/Prise de participation (SEM, etc...)",deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-prise-de-participation-sem-etc\2025-09-22_deliberations_finances-locales-prise-de-participation-sem-etc_dcm-2025-353.csv
2025-09-22,Commande Publique/Autres types de contrats,deliberations,module1-nettoyage/data/classe\deliberations\2025\commande-publique-autres-types-de-contrats\2025-09-22_deliberations_commande-publique-autres-types-de-contrats_dcm-2025-339.csv
2025-09-22,Urbanisme/Actes relatifs au droit d occupation ou d utilisation des sols,deliberations,module1-nettoyage/data/classe\deliberations\2025\urbanisme-actes-relatifs-au-droit-d-occupation-ou-\2025-09-22_deliberations_urbanisme-actes-relatifs-au-droit-d-occupation-ou-_dcm-2025-335.csv
2025-09-22,Commande Publique/Autres types de contrats,deliberations,module1-nettoyage/data/classe\deliberations\2025\commande-publique-autres-types-de-contrats\2025-09-22_deliberations_commande-publique-autres-types-de-contrats_dcm-2025-332.csv
2025-05-19,Domaine et patrimoine/Alienations,deliberations,module1-nettoyage/data/classe\deliberations\2025\domaine-et-patrimoine-alienations\2025-05-19_deliberations_domaine-et-patrimoine-alienations_dcm-2025-152.csv
2025-05-19,Domaine et patrimoine/Autres actes de gestion du domaine public,deliberations,module1-nettoyage/data/classe\deliberations\2025\domaine-et-patrimoine-autres-actes-de-gestion-du-d\2025-05-19_deliberations_domaine-et-patrimoine-autres-actes-de-gestion-du-d_dcm-2025-150.csv
2025-05-19,Commande Publique/Actes relatifs a la maitrise d oeuvre,deliberations,module1-nettoyage/data/classe\deliberations\2025\commande-publique-actes-relatifs-a-la-maitrise-d-o\2025-05-19_deliberations_commande-publique-actes-relatifs-a-la-maitrise-d-o_dcm-2025-147.csv
2025-05-19,Commande Publique/Actes relatifs a la maitrise d oeuvre,deliberations,module1-nettoyage/data/classe\deliberations\2025\commande-publique-actes-relatifs-a-la-maitrise-d-o\2025-05-19_deliberations_commande-publique-actes-relatifs-a-la-maitrise-d-o_dcm-2025-146.csv
2025-05-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-subventions\2025-05-19_deliberations_finances-locales-subventions_dcm-2025-144.csv
2025-05-19,Institutions et vie politique/Delegation de fonctions,deliberations,module1-nettoyage/data/classe\deliberations\2025\institutions-et-vie-politique-delegation-de-foncti\2025-05-19_deliberations_institutions-et-vie-politique-delegation-de-foncti_dcm-2025-163.csv
2025-05-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-subventions\2025-05-19_deliberations_finances-locales-subventions_dcm-2025-136.csv
2025-05-19,Domaine et patrimoine/Acquisitions,deliberations,module1-nettoyage/data/classe\deliberations\2025\domaine-et-patrimoine-acquisitions\2025-05-19_deliberations_domaine-et-patrimoine-acquisitions_dcm-2025-153.csv
2025-05-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-subventions\2025-05-19_deliberations_finances-locales-subventions_dcm-2025-128.csv
2025-05-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-subventions\2025-05-19_deliberations_finances-locales-subventions_dcm-2025-121.csv
2025-05-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-subventions\2025-05-19_deliberations_finances-locales-subventions_dcm-2025-115.csv
2025-05-19,Autres domaines de competences/Autres domaines de competences des communes,deliberations,module1-nettoyage/data/classe\deliberations\2025\autres-domaines-de-competences-autres-domaines-de-\2025-05-19_deliberations_autres-domaines-de-competences-autres-domaines-de-_dcm-2025-106.csv
2025-03-24,Fonction publique/Personnel titulaires et stagiaires de la F.P.T.,deliberations,module1-nettoyage/data/classe\deliberations\2025\fonction-publique-personnel-titulaires-et-stagiair\2025-03-24_deliberations_fonction-publique-personnel-titulaires-et-stagiair_dcm-2025-100.csv
2025-03-24,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-subventions\2025-03-24_deliberations_finances-locales-subventions_dcm-2025-051.csv
2025-03-24,Domaine et patrimoine/Acquisitions,deliberations,module1-nettoyage/data/classe\deliberations\2025\domaine-et-patrimoine-acquisitions\2025-03-24_deliberations_domaine-et-patrimoine-acquisitions_dcm-2025-089.csv
2025-03-24,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-subventions\2025-03-24_deliberations_finances-locales-subventions_dcm-2025-075.csv
2025-03-24,Commande Publique/Delegation de service public,deliberations,module1-nettoyage/data/classe\deliberations\2025\commande-publique-delegation-de-service-public\2025-03-24_deliberations_commande-publique-delegation-de-service-public_dcm-2025-074.csv
2025-03-24,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-subventions\2025-03-24_deliberations_finances-locales-subventions_dcm-2025-069.csv
2025-03-24,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-subventions\2025-03-24_deliberations_finances-locales-subventions_dcm-2025-064.csv
2025-03-24,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-subventions\2025-03-24_deliberations_finances-locales-subventions_dcm-2025-058.csv
2025-02-03,Domaine et patrimoine/Alienations,deliberations,module1-nettoyage/data/classe\deliberations\2025\domaine-et-patrimoine-alienations\2025-02-03_deliberations_domaine-et-patrimoine-alienations_dcm-2025-030.csv
