organom;secteur;adrenumero;adreextension;adreimmeuble;adrerue;adrecoordx;adrecoordy;longitude;latitude;rivolide;quarnom;id_sitorg;latlong;nom_specialite_principale;date_recuperation;id_projet
Ecole élémentaire Nelson Mandela;2;1.0;;;Rue Christine de Pisan;1350527.3750;7225549.0000;-1.6984939351;48.1339832006;RUE CHRISTINE DE PISAN;Villejean - Beauregard;1445;{'lon': -1.6984939351, 'lat': 48.1339832006};Ecole élémentaire;2026-08-18;ECOLE-0001
Ecole élémentaire Volga;2;3.0;;;;1353614.0000;7219929.0000;-1.652540482;48.08521721;RUE DE LA VOLGA;Le Blosne;371;{'lon': -1.652540482, 'lat': 48.08521721};Ecole élémentaire;2026-08-18;ECOLE-0002
Ecole maternelle Jules Ferry;1;21.0;;;;1352858.0000;7225900.0000;-1.667521886;48.13841504;RUE EMILE BERNARD;Maurepas - Bellangerais;4702;{'lon': -1.667521886, 'lat': 48.13841504};Ecole maternelle;2026-08-18;ECOLE-0003
Ecole élémentaire Albert de Mun;1;5.0;;;RUE ALBERT MARTIN;1352726.0000;7221786.0000;-1.665949888;48.1014104;RUE ALBERT MARTIN;Sud-Gare;455;{'lon': -1.665949888, 'lat': 48.1014104};Ecole élémentaire;2026-08-18;ECOLE-0004
Ecole élémentaire Jules Isaac;1;9.0;;;;1352742.0000;7225342.0000;-1.668614238;48.13334017;RUE DU MORBIHAN;Maurepas - Bellangerais;5168;{'lon': -1.668614238, 'lat': 48.13334017};Ecole élémentaire;2026-08-18;ECOLE-0005
Ecole maternelle Robert Doisneau;2;6.0;;;;1354512.0000;7220397.0000;-1.640886278;48.08990875;RUE RENE-YVES CRESTON;Francisco-Ferrer - Landry - Poterie;178;{'lon': -1.640886278, 'lat': 48.08990875};Ecole maternelle;2026-08-18;ECOLE-0006
Ecole maternelle Saint-Malo;1;7.0;;;RUE DE SAINT-MALO;1351654.0000;7223481.0000;-1.681689346;48.11603632;RUE DE SAINT-MALO;Centre;221;{'lon': -1.681689346, 'lat': 48.11603632};Ecole maternelle;2026-08-18;ECOLE-0007
Ecole maternelle Guyenne;2;23.0;;;;1348972.0000;7224197.0000;-1.718234533;48.12099949;AVENUE DE GUYENNE;Villejean - Beauregard;4875;{'lon': -1.718234533, 'lat': 48.12099949};Ecole maternelle;2026-08-18;ECOLE-0008
Ecole maternelle Jean Zay;1;3.0;;D;PLACE SAINT-MELAINE;1352367.0000;7223347.0000;-1.672029144;48.11522441;PLACE SAINT-MELAINE;Thabor - Saint-Hélier -  Alphonse Guérin;232;{'lon': -1.672029144, 'lat': 48.11522441};Ecole maternelle;2026-08-18;ECOLE-0009
Ecole élémentaire Andrée Chedid;2;9.0;;;;1349426.0000;7224335.0000;-1.712256933;48.12248556;RUE DE PICARDIE;Villejean - Beauregard;69;{'lon': -1.712256933, 'lat': 48.12248556};Ecole élémentaire;2026-08-18;ECOLE-0010
